id	mask_not_process	title	unit	req_amount	globus_method	globus_url	keyword	perekrestok_method	perekrestok_url	okey_method	okey_url	ashan_method	ashan_url
11		Сметана	кг	1.8	byurls	https://online.globus.ru/search/?section_id=634&q=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=1173&q=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	сметана	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1380&text=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0	byurls	https://www.okeydostavka.ru/webapp/wcs/stores/servlet/SearchDisplay?searchTermScope=&searchType=1000&filterTerm=&maxPrice=&top_category=&showResultsPage=true&langId=-20&beginIndex=0&advancedSearch=&sType=SimpleSearch&metaData=&pageSize=72&manufacturer=&resultCatEntryType=2&catalogId=12051&pageView=grid&searchTerm=%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0&minPrice=&urlLangId=-20&categoryId=16101&storeId=10151	skip	
12		Творог нежирный	кг	10	byurls	https://online.globus.ru/search/?section_id=611&q=%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64&searchFilter_1414_3745925886=Y&searchFilter_1414_1964963658=Y&searchFilter_1414_35243996=Y&searchFilter_1414_2601555558=Y&searchFilter_1414_3960973040=Y&set_filter=Y	творог	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1382&text=%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3	byurls		skip	
13		Сыры сычужные твердые и мягкие	кг	2.5	byurls	https://online.globus.ru/search/?section_id=613&q=%D1%81%D1%8B%D1%80+&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=614&q=%D1%81%D1%8B%D1%80+&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	сыр	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1381&text=%D1%81%D1%8B%D1%80%D1%8B	byurls		skip	
14		Яйца куриные	10 шт.	18	byurls	https://online.globus.ru/search/?section_id=629&q=%D1%8F%D0%B9%D1%86%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_573_2857199108=Y&set_filter=Y&count=64	яйца	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1383&text=%D1%8F%D0%B9%D1%86%D0%B0	byurls		skip	
15		Сахар-песок	кг	20	byurls	https://online.globus.ru/search/?q=%D1%81%D0%B0%D1%85%D0%B0%D1%80+%D0%BF%D0%B5%D1%81%D0%BE%D0%BA&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	сахар песок	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1348&text=%D1%81%D0%B0%D1%85%D0%B0%D1%80	byurls		byurls	https://www.auchan.ru/pokupki/eda/kofe-chai-sahar/sahar-i-saharozameniteli/sahar-kuskovoj.html?limit=96
16		Мука пшеничная	кг	20	byurls	https://online.globus.ru/search/?q=%D0%BC%D1%83%D0%BA%D0%B0+%D0%BF%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	мука	byurls	https://www.perekrestok.ru/catalog/search?text=%D0%BC%D1%83%D0%BA%D0%B0%20%D0%BF%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/muka-i-smesi-dlya-hlebopechek/pshenichnaja-muka.html?limit=96
17		Хлеб из ржаной муки и из смеси муки ржаной и пшеничной	кг	115	byurls	https://online.globus.ru/search/?section_id=785&q=%D1%85%D0%BB%D0%B5%D0%B1&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_995_4196395929=Y&searchFilter_995_1662433827=Y&set_filter=Y&count=64	хлеб ржаной	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1447&text=%D1%85%D0%BB%D0%B5%D0%B1	byurls		skip	
18		Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов	кг	75	byurls	https://online.globus.ru/search/?section_id=785&q=%D1%85%D0%BB%D0%B5%D0%B1&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64&searchFilter_995_2367216399=Y&set_filter=Y	хлеб пшеничный 1 2 сорт	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1447&text=%D1%85%D0%BB%D0%B5%D0%B1	byurls		skip	
19		Рис шлифованный	кг	5	byurls	https://online.globus.ru/search/?section_id=722&q=%D1%80%D0%B8%D1%81&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_939_1844118082=Y&set_filter=Y&count=64	рис	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1361&text=%D1%80%D0%B8%D1%81	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/krupy-boby/ris.html?limit=96
20		Пшено	кг	6	byurls	https://online.globus.ru/search/?section_id=727&q=%D0%BF%D1%88%D0%B5%D0%BD%D0%BE&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	пшено	byurls	https://www.perekrestok.ru/catalog/search?text=%D0%BF%D1%88%D0%B5%D0%BD%D0%BE	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/krupy-boby/pshenichnaja-krupa.html?limit=96
